我不是药神 徐峥,王传君,周一围 2018-07-05
天空之城 田中真弓,横泽启子,初井言荣 2023-06-01
心灵捕手 罗宾·威廉姆斯,马特·达蒙,明妮·德里弗 1997-12-05
爱在日落黄昏时 伊桑·霍克,朱莉·德尔佩,弗农·多布切夫 2015-04-20
天使爱美丽 奥黛丽·塔图,马修·卡索维茨,吕菲斯 2001-04-25
七宗罪 布拉德·皮特,摩根·弗里曼,凯文·史派西 1995-09-22
猫鼠游戏 莱昂纳多·迪卡普里奥,汤姆·汉克斯,克里斯托弗·沃肯 2003-04-11
终局之战 小罗伯特·唐尼,克里斯·埃文斯,马克·鲁法洛 2019-04-24
罗马假日 格利高里·派克,奥黛丽·赫本,埃迪·艾伯特 1953-08-20
重庆森林 梁朝伟,王菲,金城武 1994-07-14
春光乍泄 张国荣,梁朝伟,张震 1997-05-30
穿条纹睡衣的男孩 阿沙·巴特菲尔德,维拉·法梅加,大卫·休里斯 2008-08-28
釜山行 孔刘,郑裕美,马东锡 2016-05-13 00:00:00
菊次郎的夏天 北野武,关口雄介,岸本 加世子 2020-09-25
好东西 宋佳,钟楚曦,曾慕梅 2024-11-22
钢琴家 阿德里安·布劳迪,艾米莉娅·福克斯,米乔·赞布罗斯基 2002-05-24
辩护人 宋康昊,吴达洙,郭度沅 2013-12-18
饮食男女 郎雄,吴倩莲,杨贵媚 1994-08-03
剪刀手爱德华 约翰尼·德普,薇诺娜·瑞德,黛安·韦斯特 1990-12-06
十二怒汉 亨利·方达,马丁·鲍尔萨姆,约翰·菲德勒 1957-04-13
黑暗骑士 克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特 2008-07-14
入殓师 本木雅弘,广末凉子,山崎努 2021-10-29
素媛 李来,薛景求,严智苑 2013-10-02
傲慢与偏见 马修·麦克费登,吉娜·马隆,妲露拉·莱莉 2008-02-10
两杆大烟枪 杰森·弗莱明,德克斯特·弗莱彻,杰森·斯坦森 1998-08-28
奥本海默 基里安·墨菲,艾米莉·布朗特,马特·达蒙 2023-08-30
大鱼 伊万·麦克格雷格,阿尔伯特·芬尼,杰西卡·兰格 2003-12-04
致命魔术 休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩 2006-10-17
禁闭岛 莱昂纳多·迪卡普里奥,马克·鲁法洛,本·金斯利 2010-02-13
真爱至上 休·格兰特,比尔·奈伊,连姆·尼森 2003-11-21
