sale_express_rules_id,bs_warehouse_id,bs_express_service_id,hangzhou_carrierservice_id,sort_order,max_length,second_length,third_length,volume_weight,volume_weight_v3,any_length_sum,perimeter,girth,gross_weight,two_width_height,volume,remark,auto_refresh_count,erp_sku,enable_flag,sfp_to_general,ctime,mtime
463,MY-KE,DeUPS>11>公司账号自买面单,2,1,LT_100,LT_75,LT_75,LT_14,,,,LT_297,LT_14,,,,2,,1,1,1740210226,1740210226
464,MY-KE,DeUPS>11>公司账号自买面单,2,4,LT_175,,,LT_28,,,,LT_297,LT_28,,,,2,,1,1,1740210397,1746526033
466,MY-KE,DeUPS>11>公司账号自买面单,2,6,LT_274,,,LT_43,,,,LT_400,LT_43,,,,2,,1,1,1740210508,1740210508
467,MY-KE,DeUPS>11>公司账号自买面单,2,3,LT_175,,,LT_28,,,,LT_297,LT_28,,,,2,,1,1,1740210652,1746526123
469,MY-KE,DeUPS>11>公司账号自买面单,2,5,LT_274,,,LT_43,,,,LT_400,LT_43,,,,2,,1,1,1740210788,1740210788
470,MY-KE,DeUPS>11>公司账号自买面单,2,3,LT_175,,,LT_24,,,,LT_297,LT_24,,,,2,,1,1,1740212576,1740212576
472,MY-KE,DeUPS>11>公司账号自买面单,2,5,LT_274,,,LT_43,,,,LT_400,LT_43,,,,2,,1,1,1740212691,1740212691
473,MY-KE,DeUPS>11>公司账号自买面单,2,2,LT_100,LT_75,LT_75,LT_14,,,,LT_297,LT_14,,,,2,,1,1,1740212894,1740212894
475,MY-KE,DeUPS>11>公司账号自买面单,2,4,LT_175,,,LT_22,,,,LT_297,LT_22,,,,2,,1,1,1740213078,1740213078
477,MY-KE,DeUPS>11>公司账号自买面单,2,6,LT_274,,,LT_43,,,,LT_400,LT_43,,,,2,,1,1,1740213204,1740213204
478,MY-KE,DeUPS>11>公司账号自买面单,2,3,LT_175,,,LT_14,,,,LT_297,LT_14,,,,2,,1,1,1740213405,1740213405
480,MY-KE,DeUPS>11>公司账号自买面单,2,5,LT_274,,,LT_43,,,,LT_400,LT_43,,,,2,,1,1,1740213511,1740213511
481,MY-KE,DeUPS>11>公司账号自买面单,2,1,LT_100,LT_75,LT_75,LT_14,,,,LT_297,LT_14,,,,2,,1,1,1740213645,1740213645
483,MY-KE,DeUPS>11>公司账号自买面单,2,3,LT_175,,,LT_28,,,,LT_297,LT_28,,,,2,,1,1,1740213743,1746526371
484,MY-KE,DeUPS>11>公司账号自买面单,2,5,LT_274,,,LT_43,,,,LT_400,LT_43,,,,2,,1,1,1740213782,1740213782
485,MY-KE,DeUPS>11>公司账号自买面单,2,1,LT_100,LT_75,LT_75,LT_22,,,,LT_297,LT_22,,,,2,,1,1,1740213922,1746526421
489,MY-KE,DeUPS>11>公司账号自买面单,2,5,LT_274,,,LT_43,,,,LT_400,LT_43,,,,2,,1,1,1740214173,1740214173
490,MY-KE,DeUPS>11>公司账号自买面单,2,1,LT_100,LT_75,LT_75,LT_25,,,,LT_297,LT_25,,,,2,,1,1,1740214336,1740214336
491,MY-KE,DeUPS>11>公司账号自买面单,2,4,LT_274,,,LT_43,,,,LT_400,LT_43,,,,2,,1,1,1740214442,1740214442
493,MY-KE,DeUPS>11>公司账号自买面单,2,3,LT_274,,,LT_14,,,,LT_297,LT_14,,,,2,,1,1,1740214670,1740214670
494,MY-KE,DeUPS>11>公司账号自买面单,2,5,LT_274,,,LT_43,,,,LT_400,LT_43,,,,2,,1,1,1740214712,1740214712
564,MY-KS,DeUPS>11>公司账号自买面单,2,2,GT_175@LT_270,,,,,,,LT_297,LT_31.5,,,,,,1,2,0,1758513038
566,MY-KS,DeUPS>11>公司账号自买面单,2,4,,,,,,,,LT_297,GT_32@LT_40,,,,,,1,2,0,1751339827
567,MY-KS,DeUPS>11>公司账号自买面单,2,5,,,,,,,,GT_330@LTE_400,GT_32@LT_44,,,,,,1,2,0,1751339829
652,MY-KE,DeUPS>11>公司账号自买面单,2,0,,,,,,,,,,,,,2,G-VN24-0558A-2-1,1,1,1750840015,1750840015
653,MY-KE,DeUPS>11>公司账号自买面单,2,0,,,,,,,,,,,,,2,G-VN24-0558A-2-2,1,1,1750840075,1750840075
654,MY-KE,DeUPS>11>公司账号自买面单,2,0,,,,,,,,,,,,,2,G-VN24-0558B-2-1,1,1,1750840103,1750840103
655,MY-KE,DeUPS>11>公司账号自买面单,2,0,,,,,,,,,,,,,2,G-VN24-0558B-2-2,1,1,1750840122,1750840122
661,MY-DE,DeUPS>11>公司账号自买面单,2,4,LT_175,,,LT_20,,,,LT_297,LT_20,,,,2,,1,2,1751336849,1751336849
663,MY-DE,DeUPS>11>公司账号自买面单,2,6,LT_270,,,LT_40,,,,LT_297,LT_40,,,,2,,1,2,1751336969,1758512824
665,MY-DE,DeUPS>11>公司账号自买面单,2,8,LT_270,,,LT_44,,,,LT_400,LT_44,,,,2,,1,2,1751337385,1758512828
666,MY-KE,DeUPS>11>公司账号自买面单,2,3,LT_175,,,LT_20,,,,LT_297,LT_20,,,,2,,1,2,1751337753,1755086867
668,MY-KE,DeUPS>11>公司账号自买面单,2,6,LT_274,,,LT_40,,,,LT_297,LT_40,,,,2,,1,1,1751338361,1751338361
669,MY-KE,DeUPS>11>公司账号自买面单,2,5,LT_270,,,LT_40,,,,LT_297,LT_40,,,,2,,1,2,1751339329,1758513012
671,MY-KE,DeUPS>11>公司账号自买面单,2,7,LT_270,,,LT_44,,,,LT_400,LT_44,,,,2,,1,2,1751339411,1758513016
672,MY-SH,DeUPS>11>公司账号自买面单,2,4,GT_175@LT_270,,,,,,,LT_297,LT_31.5,,,,2,,1,1,1751423048,1758512887
743,MY-DE,DeUPS>11>公司账号自买面单,2,1,LT_100,LT_76,,LT_25,,,,LT_297,LT_25,,,,2,,1,1,1758539916,1758540716
745,MY-DE,DeUPS>11>公司账号自买面单,2,3,LT_270,,,LT_40,,,,LT_297,LT_40,,,,2,,1,1,1758540559,1758540584
746,MY-KE,DeUPS>11>公司账号自买面单,2,1,LT_100,LT_76,,LT_25,,,,LT_297,LT_25,,,,2,,1,1,1758540681,1758540758
748,MY-KE,DeUPS>11>公司账号自买面单,2,3,LT_270,,,LT_40,,,,LT_297,LT_40,,,,2,,1,1,1758541038,1758541038
776,SHAOKE-DE,DeUPS>11>公司账号自买面单,2,4,LT_270,,,LT_40,,,,LT_297,LT_40,,,,2,,1,1,1760669862,1760943542
777,SHAOKE-DE,DeUPS>11>公司账号自买面单,2,5,LT_270,,,LT_44,,,,LT_397,LT_44,,,,2,,1,1,1760671723,1760943553
778,SHAOKE-DE,DeUPS>11>公司账号自买面单,2,4,LT_270,,,LT_40,,,,LT_297,LT_40,,,,2,,1,2,1760671773,1760943536
779,SHAOKE-DE,DeUPS>11>公司账号自买面单,2,5,LT_270,,,LT_44,,,,LT_397,LT_44,,,,2,,1,2,1760671810,1760943548
780,SHAOKE-DE,DeUPS>11>公司账号自买面单,2,3,LT_270,,,LT_43,,,,LT_397,LT_43,,,,2,,1,1,1760673122,1760943510
781,SHAOKE-DE,DeUPS>11>公司账号自买面单,2,4,LT_270,,,LT_43,,,,LT_397,LT_43,,,,2,,1,1,1760673672,1760943532
782,SHAOKE-DE,DeUPS>11>公司账号自买面单,2,4,LT_270,,,LT_43,,,,LT_397,LT_43,,,,2,,1,1,1760703063,1760943527
783,SHAOKE-DE,DeUPS>11>公司账号自买面单,2,4,LT_270,,,LT_43,,,,LT_397,LT_43,,,,2,,1,1,1760703675,1760943520
832,SHAOKE-DE,DeUPS>11>公司账号自买面单,2,4,LT_270,,,LT_43,,,,LT_397,LT_43,,,,2,,1,1,1763361384,1763361384
13,MY-DE,DeDHL>PAKET>德国发本土,3,2,LT_120,LT_60,LT_60,,,,,LT_297,LT_20,,,,,,1,1,1,1746525551
22,MY-DE,DeDHL>PAKET_INTERNATIONAL>德国发欧盟,3,1,LT_120,LT_60,LT_60,,,,,LT_297,LT_6,,,,,,1,1,0,1746525853
29,MY-DE,DeDHL>PAKET_INTERNATIONAL>德国发欧盟,3,1,LT_120,LT_60,LT_60,,,,,LT_297,LT_12,,,,,,1,1,1,1746525896
37,MY-DE,DeDHL>PAKET_INTERNATIONAL>德国发欧盟,3,1,LT_120,LT_60,LT_60,,,,,LT_297,LT_22,,,,,,1,1,1,1746525970
60,MY-SH,DeDHL>PAKET>德国发本土,3,2,LT_200,,,,,,,GT_297@LTE_360,LT_31.5,,,,,,1,1,1,1751521383
61,MY-SH,DeDHL>PAKET>德国发本土,3,3,LT_200,,,,,,,LTE_357,LT_31.5,,,,,,1,1,1,1745320348
95,MY-SH,DeDHL>PAKET>德国发本土,3,2,LT_200,,,,,,,GT_297@LTE_360,LT_31.5,,,,,,1,2,0,1751521389
105,MY-DE,DeDHL>PAKET_INTERNATIONAL>德国发欧盟,3,2,LT_120,LT_60,LT_60,,,,,LT_297,LT_12,,,,,,1,1,0,1746526014
110,MY-DE,DeDHL>PAKET_INTERNATIONAL>德国发欧盟,3,1,LT_120,LT_60,LT_60,,,,,LT_297,LT_16,,,,,,1,1,0,1746526105
115,MY-DE,DeDHL>PAKET_INTERNATIONAL>德国发欧盟,3,1,LT_120,LT_60,LT_60,,,,,LT_297,LT_30,,,,,,1,1,0,0
140,MY-DE,DeDHL>PAKET>德国发本土,3,7,LT_200,,,,,,,LT_357,LT_31.5,,,,,,1,1,0,1746525516
